index,position,value,amplitude,start,end,width,xPosition,xStart,xEnd,xWidth,x_symmetry,y_symmetry,sigma_left,sigma_right,i_Minmax
0.000000000000000000e+00,1.700000000000000000e+01,5.784249999999999670e-01,1.247577499999589223e+00,1.100000000000000000e+01,2.200000000000000000e+01,1.100000000000000000e+01,1.600000000000000000e+01,1.000000000000000000e+01,2.100000000000000000e+01,1.100000000000000000e+01,8.333333333333333703e-01,7.844065030514927317e-01,9.945296085671639474e+00,9.560139172811073394e+00,1.000000000000000000e+00
1.000000000000000000e+00,7.900000000000000000e+01,1.656854000000000049e+00,2.401955699999877680e+01,6.300000000000000000e+01,9.900000000000000000e+01,3.600000000000000000e+01,7.800000000000000000e+01,6.200000000000000000e+01,9.800000000000000000e+01,3.600000000000000000e+01,8.000000000000000444e-01,7.922077147915521644e-01,1.414346419214129469e+01,1.285148847061359234e+01,1.000000000000000000e+00
2.000000000000000000e+00,3.610000000000000000e+02,1.696069000000000049e+00,2.462741149999176571e+01,3.440000000000000000e+02,3.780000000000000000e+02,3.400000000000000000e+01,3.600000000000000000e+02,3.430000000000000000e+02,3.770000000000000000e+02,3.400000000000000000e+01,1.000000000000000000e+00,8.461541982257186900e-01,1.416799081940063054e+01,1.116079016926632939e+01,1.000000000000000000e+00
3.000000000000000000e+00,6.420000000000000000e+02,1.735284999999999966e+00,2.705880150002646545e+01,6.230000000000000000e+02,6.620000000000000000e+02,3.900000000000000000e+01,6.410000000000000000e+02,6.220000000000000000e+02,6.610000000000000000e+02,3.900000000000000000e+01,9.499999999999999556e-01,8.192771750618146331e-01,1.571058680048116507e+01,1.199885895170267247e+01,1.000000000000000000e+00
4.000000000000000000e+00,9.240000000000000000e+02,1.696069000000000049e+00,2.823521799993617876e+01,9.090000000000000000e+02,9.460000000000000000e+02,3.700000000000000000e+01,9.230000000000000000e+02,9.080000000000000000e+02,9.450000000000000000e+02,3.700000000000000000e+01,6.818181818181817677e-01,7.349400625642494855e-01,1.357216322973951250e+01,1.228407256858692342e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.205000000000000000e+03,1.656854000000000049e+00,2.599995150002931155e+01,1.184000000000000000e+03,1.223000000000000000e+03,3.900000000000000000e+01,1.204000000000000000e+03,1.183000000000000000e+03,1.222000000000000000e+03,3.900000000000000000e+01,8.571428571428570953e-01,8.701299045370880503e-01,1.673551920330148590e+01,1.156633962355223311e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.247000000000000000e+03,2.058760000000000034e-01,6.372589999986792986e-01,1.242000000000000000e+03,1.252000000000000000e+03,1.000000000000000000e+01,1.246000000000000000e+03,1.241000000000000000e+03,1.251000000000000000e+03,1.000000000000000000e+01,1.000000000000000000e+00,7.499968124848594986e-01,7.219968971364491672e+00,8.619652236037227411e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.487000000000000000e+03,1.637245999999999979e+00,2.757837400001327310e+01,1.470000000000000000e+03,1.508000000000000000e+03,3.800000000000000000e+01,1.486000000000000000e+03,1.469000000000000000e+03,1.507000000000000000e+03,3.800000000000000000e+01,8.095238095238095344e-01,7.654322542298606091e-01,1.459453851053079454e+01,1.121110320378876679e+01,1.000000000000000000e+00
8.000000000000000000e+00,1.768000000000000000e+03,1.656854000000000049e+00,2.834308899998456610e+01,1.750000000000000000e+03,1.792000000000000000e+03,4.200000000000000000e+01,1.767000000000000000e+03,1.749000000000000000e+03,1.791000000000000000e+03,4.200000000000000000e+01,7.500000000000000000e-01,7.682928649616878047e-01,1.538568855295390136e+01,1.279100751322216034e+01,1.000000000000000000e+00
9.000000000000000000e+00,1.995000000000000000e+03,4.803859999999999797e-01,7.745065000000095345e-01,1.990000000000000000e+03,2.000000000000000000e+03,1.000000000000000000e+01,1.994000000000000000e+03,1.989000000000000000e+03,1.999000000000000000e+03,1.000000000000000000e+01,1.000000000000000000e+00,1.666680833340413170e-01,2.449286493352580507e+01,9.433855130389900978e+00,1.000000000000000000e+00
1.000000000000000000e+01,2.051000000000000000e+03,1.676460999999999979e+00,2.569602850005632177e+01,2.032000000000000000e+03,2.067000000000000000e+03,3.500000000000000000e+01,2.050000000000000000e+03,2.031000000000000000e+03,2.066000000000000000e+03,3.500000000000000000e+01,8.421052631578946901e-01,8.311690290104649659e-01,1.617110037773772646e+01,1.053069576850604072e+01,1.000000000000000000e+00
1.100000000000000000e+01,2.096000000000000000e+03,1.862689999999999901e-01,5.980439999998818923e-01,2.091000000000000000e+03,2.101000000000000000e+03,1.000000000000000000e+01,2.095000000000000000e+03,2.090000000000000000e+03,2.100000000000000000e+03,1.000000000000000000e+01,1.000000000000000000e+00,7.500000000000000000e-01,6.763113825173673987e+00,8.116338063651996393e+00,1.000000000000000000e+00
1.200000000000000000e+01,2.334000000000000000e+03,1.676460999999999979e+00,2.401953599999011146e+01,2.316000000000000000e+03,2.352000000000000000e+03,3.600000000000000000e+01,2.333000000000000000e+03,2.315000000000000000e+03,2.351000000000000000e+03,3.600000000000000000e+01,1.000000000000000000e+00,8.461535443779553134e-01,1.480535664090646364e+01,1.153834955767737291e+01,1.000000000000000000e+00
