index,position,value,amplitude,start,end,width,xPosition,xStart,xEnd,xWidth,x_symmetry,y_symmetry,sigma_left,sigma_right,i_Minmax
0.000000000000000000e+00,1.700000000000000000e+01,5.784249999999999670e-01,9.557285714285707057e-02,1.500000000000000000e+01,2.200000000000000000e+01,7.000000000000000000e+00,1.600000000000000000e+01,1.400000000000000000e+01,2.100000000000000000e+01,7.000000000000000000e+00,4.000000000000000222e-01,5.666028535307926495e-01,5.239359177058904748e+00,9.560139172811073394e+00,1.000000000000000000e+00
1.000000000000000000e+00,7.900000000000000000e+01,1.656854000000000049e+00,1.319664848484848552e+00,6.300000000000000000e+01,9.600000000000000000e+01,3.300000000000000000e+01,7.800000000000000000e+01,6.200000000000000000e+01,9.500000000000000000e+01,3.300000000000000000e+01,9.411764705882352811e-01,8.243240076693100216e-01,1.414346419214129469e+01,1.177210273272111429e+01,1.000000000000000000e+00
2.000000000000000000e+00,3.610000000000000000e+02,1.696069000000000049e+00,1.202160827586207015e+00,3.440000000000000000e+02,3.730000000000000000e+02,2.900000000000000000e+01,3.600000000000000000e+02,3.430000000000000000e+02,3.720000000000000000e+02,2.900000000000000000e+01,7.058823529411765163e-01,8.787874338833875365e-01,1.416799081940063054e+01,1.138863172598221674e+01,1.000000000000000000e+00
3.000000000000000000e+00,6.420000000000000000e+02,1.735284999999999966e+00,1.395719272727272697e+00,6.270000000000000000e+02,6.600000000000000000e+02,3.300000000000000000e+01,6.410000000000000000e+02,6.260000000000000000e+02,6.590000000000000000e+02,3.300000000000000000e+01,8.333333333333333703e-01,7.777780576137489632e-01,1.344692481226969072e+01,1.145745469068009292e+01,1.000000000000000000e+00
4.000000000000000000e+00,9.240000000000000000e+02,1.696069000000000049e+00,1.386386735294117711e+00,9.090000000000000000e+02,9.430000000000000000e+02,3.400000000000000000e+01,9.230000000000000000e+02,9.080000000000000000e+02,9.420000000000000000e+02,3.400000000000000000e+01,7.894736842105263275e-01,7.349400625642494855e-01,1.357216322973951250e+01,1.060897176377961593e+01,1.000000000000000000e+00
5.000000000000000000e+00,1.205000000000000000e+03,1.656854000000000049e+00,1.395333648648648728e+00,1.186000000000000000e+03,1.223000000000000000e+03,3.700000000000000000e+01,1.204000000000000000e+03,1.185000000000000000e+03,1.222000000000000000e+03,3.700000000000000000e+01,9.473684210526315264e-01,8.441556205089281173e-01,1.569044188641276527e+01,1.156633962355223311e+01,1.000000000000000000e+00
6.000000000000000000e+00,1.247000000000000000e+03,2.058760000000000034e-01,3.431300000000001016e-02,1.244000000000000000e+03,1.248000000000000000e+03,4.000000000000000000e+00,1.246000000000000000e+03,1.243000000000000000e+03,1.247000000000000000e+03,4.000000000000000000e+00,3.333333333333333148e-01,2.499904374545780794e-01,4.331981382818694826e+00,3.160979075503834501e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.487000000000000000e+03,1.637245999999999979e+00,0.000000000000000000e+00,1.476000000000000000e+03,1.487000000000000000e+03,1.100000000000000000e+01,1.486000000000000000e+03,1.475000000000000000e+03,1.486000000000000000e+03,1.100000000000000000e+01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.229445608990918082e+01,-9.990000000000000000e+02,1.000000000000000000e+00
8.000000000000000000e+00,1.768000000000000000e+03,1.656854000000000049e+00,0.000000000000000000e+00,1.753000000000000000e+03,1.768000000000000000e+03,1.500000000000000000e+01,1.767000000000000000e+03,1.752000000000000000e+03,1.767000000000000000e+03,1.500000000000000000e+01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.325949768013246377e+01,-9.990000000000000000e+02,1.000000000000000000e+00
9.000000000000000000e+00,1.995000000000000000e+03,4.803859999999999797e-01,-9.990000000000000000e+02,1.995000000000000000e+03,1.995000000000000000e+03,0.000000000000000000e+00,1.994000000000000000e+03,1.994000000000000000e+03,1.994000000000000000e+03,0.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-9.990000000000000000e+02,-9.990000000000000000e+02,1.000000000000000000e+00
1.000000000000000000e+01,2.051000000000000000e+03,1.676460999999999979e+00,1.389846588235294167e+00,2.033000000000000000e+03,2.067000000000000000e+03,3.400000000000000000e+01,2.050000000000000000e+03,2.032000000000000000e+03,2.066000000000000000e+03,3.400000000000000000e+01,8.888888888888888395e-01,8.311690290104649659e-01,1.531998983154100458e+01,1.053069576850604072e+01,1.000000000000000000e+00
1.100000000000000000e+01,2.096000000000000000e+03,1.862689999999999901e-01,0.000000000000000000e+00,2.096000000000000000e+03,2.097000000000000000e+03,1.000000000000000000e+00,2.095000000000000000e+03,2.095000000000000000e+03,2.096000000000000000e+03,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-9.990000000000000000e+02,2.998395527987763653e+00,1.000000000000000000e+00
1.200000000000000000e+01,2.334000000000000000e+03,1.676460999999999979e+00,1.411761000000000044e+00,2.316000000000000000e+03,2.352000000000000000e+03,3.600000000000000000e+01,2.333000000000000000e+03,2.315000000000000000e+03,2.351000000000000000e+03,3.600000000000000000e+01,1.000000000000000000e+00,8.461535443779553134e-01,1.480535664090646364e+01,1.153834955767737291e+01,1.000000000000000000e+00
