index,signal
1,0.362739
2,0.382347
3,0.323523
4,0.323523
5,0.421562
6,0.382347
7,0.421562
8,0.441170
9,0.421562
10,0.441170
11,0.421562
12,0.401954
13,0.441170
14,0.480386
15,0.499993
16,0.499993
17,0.519601
18,0.578425
19,0.558817
20,0.499993
21,0.480386
22,0.460778
23,0.480386
24,0.499993
25,0.441170
26,0.460778
27,0.480386
28,0.401954
29,0.401954
30,0.401954
31,0.421562
32,0.421562
33,0.382347
34,0.382347
35,0.421562
36,0.401954
37,0.401954
38,0.382347
39,0.382347
40,0.441170
41,0.460778
42,0.421562
43,0.421562
44,0.362739
45,0.362739
46,0.362739
47,0.401954
48,0.401954
49,0.401954
50,0.382347
51,0.421562
52,0.421562
53,0.362739
54,0.362739
55,0.401954
56,0.421562
57,0.441170
58,0.421562
59,0.401954
60,0.441170
61,0.441170
62,0.460778
63,0.480386
64,0.460778
65,0.499993
66,0.578425
67,0.637248
68,0.715679
69,0.754895
70,0.794110
71,0.892149
72,0.990188
73,1.088227
74,1.186266
75,1.284305
76,1.421560
77,1.499991
78,1.519599
79,1.598030
80,1.656854
81,1.637246
82,1.598030
83,1.499991
84,1.362737
85,1.264698
86,1.127443
87,1.029404
88,0.950973
89,0.833326
90,0.715679
91,0.637248
92,0.558817
93,0.480386
94,0.382347
95,0.284308
96,0.245092
97,0.205876
98,0.205876
99,0.166661
100,0.147053
101,0.166661
102,0.166661
103,0.107837
104,0.088230
105,0.127445
106,0.107837
107,0.127445
108,0.127445
109,0.166661
110,0.205876
111,0.147053
112,0.107837
113,0.205876
114,0.225484
115,0.186269
116,0.186269
117,0.186269
118,0.205876
119,0.186269
120,0.127445
121,0.127445
122,0.147053
123,0.225484
124,0.245092
125,0.245092
126,0.225484
127,0.225484
128,0.127445
129,0.127445
130,0.245092
131,0.225484
132,0.225484
133,0.166661
134,0.186269
135,0.245092
136,0.186269
137,0.127445
138,0.147053
139,0.186269
140,0.225484
141,0.225484
142,0.264700
143,0.264700
144,0.225484
145,0.186269
146,0.186269
147,0.205876
148,0.245092
149,0.264700
150,0.225484
151,0.245092
152,0.245092
153,0.166661
154,0.166661
155,0.205876
156,0.245092
157,0.205876
158,0.127445
159,0.205876
160,0.245092
161,0.186269
162,0.186269
163,0.186269
164,0.225484
165,0.205876
166,0.186269
167,0.225484
168,0.264700
169,0.205876
170,0.205876
171,0.245092
172,0.264700
173,0.284308
174,0.264700
175,0.264700
176,0.323523
177,0.382347
178,0.284308
179,0.264700
180,0.323523
181,0.323523
182,0.343131
183,0.343131
184,0.382347
185,0.362739
186,0.323523
187,0.323523
188,0.382347
189,0.441170
190,0.421562
191,0.401954
192,0.460778
193,0.421562
194,0.401954
195,0.382347
196,0.460778
197,0.480386
198,0.460778
199,0.519601
200,0.499993
201,0.499993
202,0.480386
203,0.441170
204,0.480386
205,0.499993
206,0.480386
207,0.441170
208,0.401954
209,0.421562
210,0.460778
211,0.421562
212,0.421562
213,0.441170
214,0.421562
215,0.421562
216,0.421562
217,0.460778
218,0.499993
219,0.480386
220,0.401954
221,0.441170
222,0.499993
223,0.480386
224,0.460778
225,0.441170
226,0.441170
227,0.460778
228,0.401954
229,0.401954
230,0.421562
231,0.499993
232,0.499993
233,0.382347
234,0.421562
235,0.460778
236,0.401954
237,0.382347
238,0.401954
239,0.382347
240,0.401954
241,0.382347
242,0.421562
243,0.460778
244,0.401954
245,0.362739
246,0.382347
247,0.401954
248,0.421562
249,0.421562
250,0.401954
251,0.421562
252,0.401954
253,0.382347
254,0.362739
255,0.362739
256,0.382347
257,0.382347
258,0.362739
259,0.421562
260,0.421562
261,0.303915
262,0.303915
263,0.382347
264,0.382347
265,0.421562
266,0.401954
267,0.401954
268,0.421562
269,0.401954
270,0.362739
271,0.343131
272,0.362739
273,0.382347
274,0.362739
275,0.343131
276,0.382347
277,0.362739
278,0.343131
279,0.343131
280,0.362739
281,0.382347
282,0.401954
283,0.401954
284,0.421562
285,0.401954
286,0.382347
287,0.362739
288,0.382347
289,0.421562
290,0.421562
291,0.421562
292,0.382347
293,0.421562
294,0.441170
295,0.460778
296,0.460778
297,0.460778
298,0.519601
299,0.519601
300,0.519601
301,0.558817
302,0.578425
303,0.519601
304,0.480386
305,0.499993
306,0.558817
307,0.539209
308,0.460778
309,0.480386
310,0.499993
311,0.401954
312,0.382347
313,0.401954
314,0.401954
315,0.421562
316,0.401954
317,0.382347
318,0.421562
319,0.401954
320,0.343131
321,0.362739
322,0.382347
323,0.401954
324,0.362739
325,0.362739
326,0.421562
327,0.441170
328,0.362739
329,0.362739
330,0.401954
331,0.421562
332,0.441170
333,0.401954
334,0.421562
335,0.401954
336,0.382347
337,0.401954
338,0.421562
339,0.421562
340,0.401954
341,0.382347
342,0.421562
343,0.499993
344,0.441170
345,0.401954
346,0.480386
347,0.598032
348,0.656856
349,0.676464
350,0.715679
351,0.794110
352,0.833326
353,0.892149
354,0.970581
355,1.107835
356,1.245090
357,1.362737
358,1.441168
359,1.539207
360,1.637246
361,1.676461
362,1.696069
363,1.637246
364,1.558815
365,1.480383
366,1.323521
367,1.186266
368,1.166659
369,1.068620
370,0.931365
371,0.813718
372,0.696071
373,0.656856
374,0.558817
375,0.558817
376,0.441170
377,0.284308
378,0.205876
379,0.166661
380,0.186269
381,0.205876
382,0.205876
383,0.166661
384,0.088230
385,0.107837
386,0.068622
387,0.068622
388,0.147053
389,0.166661
390,0.205876
391,0.186269
392,0.147053
393,0.186269
394,0.147053
395,0.147053
396,0.186269
397,0.147053
398,0.147053
399,0.186269
400,0.186269
401,0.186269
402,0.186269
403,0.127445
404,0.147053
405,0.186269
406,0.205876
407,0.225484
408,0.245092
409,0.186269
410,0.186269
411,0.147053
412,0.166661
413,0.186269
414,0.186269
415,0.127445
416,0.107837
417,0.147053
418,0.166661
419,0.147053
420,0.147053
421,0.147053
422,0.186269
423,0.186269
424,0.186269
425,0.166661
426,0.245092
427,0.225484
428,0.205876
429,0.166661
430,0.186269
431,0.166661
432,0.205876
433,0.166661
434,0.186269
435,0.205876
436,0.166661
437,0.186269
438,0.166661
439,0.225484
440,0.264700
441,0.186269
442,0.205876
443,0.225484
444,0.166661
445,0.166661
446,0.147053
447,0.186269
448,0.264700
449,0.245092
450,0.166661
451,0.205876
452,0.225484
453,0.186269
454,0.166661
455,0.225484
456,0.245092
457,0.284308
458,0.225484
459,0.225484
460,0.303915
461,0.264700
462,0.284308
463,0.303915
464,0.303915
465,0.323523
466,0.323523
467,0.343131
468,0.382347
469,0.382347
470,0.382347
471,0.323523
472,0.323523
473,0.421562
474,0.421562
475,0.401954
476,0.460778
477,0.421562
478,0.460778
479,0.460778
480,0.421562
481,0.421562
482,0.441170
483,0.421562
484,0.441170
485,0.441170
486,0.382347
487,0.382347
488,0.421562
489,0.499993
490,0.558817
491,0.519601
492,0.480386
493,0.441170
494,0.441170
495,0.480386
496,0.421562
497,0.441170
498,0.421562
499,0.441170
500,0.460778
501,0.539209
502,0.499993
503,0.421562
504,0.401954
505,0.421562
506,0.460778
507,0.441170
508,0.382347
509,0.401954
510,0.460778
511,0.441170
512,0.362739
513,0.362739
514,0.421562
515,0.441170
516,0.382347
517,0.421562
518,0.460778
519,0.343131
520,0.343131
521,0.382347
522,0.441170
523,0.480386
524,0.421562
525,0.401954
526,0.382347
